gene_symbols,phi_0,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7,phi_8,phi_9,phi_10,phi_11,phi_12,phi_13,phi_14,phi_15,phi_16,phi_17,phi_18,phi_19,phi_20,phi_21,phi_22,phi_23,phi_24,phi_25,phi_26,phi_27
SAMD11,-0.005351699,0.0023164186,-0.0059810923,-0.0018240514,0.0026994508,-0.0026620294,-0.005021933,-0.0012326846,0.009873532,0.023405008,0.009522107,0.007135287,0.012894709,-0.005650144,-0.0049120253,-0.008332682,0.00036310902,-0.004994545,0.03332906,-0.016351197,0.05749411,-0.007816621,0.0013632574,-0.0019916568,0.0028558818,0.0029543755,-0.007436067,-0.014511062
HES4,0.01662744,-0.026420621,-0.013102279,0.03163019,0.0010681463,-0.0038801075,0.0042430875,0.045340694,-0.0018442412,0.015126613,0.009496186,-0.0011723902,-0.027725425,-0.024476413,0.040120378,0.010482957,0.0014440963,-0.013016471,-0.010718853,-0.0047444007,-0.009462744,0.008506527,0.0034502172,-0.0015261392,-0.007331597,0.0002997218,0.0064928276,-0.003964649
ISG15,0.004079455,-0.0019959058,0.0007691431,-0.00630291,-0.010110859,-0.011994263,-0.005208331,0.004644668,0.0067141266,0.016646558,0.006106018,-0.0013456692,0.006522349,0.003900172,-0.004394817,-0.0055570593,-0.015946554,-0.00073011394,0.0049133147,-0.0015183847,0.010764656,0.008499046,-0.0008358657,0.006813866,0.0014721643,-0.0058400803,-0.00085118803,-0.012440243
MMP23B,-0.0008163316,0.0007490137,-0.006287439,-0.0064737108,0.0003321636,0.002764862,0.0060944105,-0.0025405025,0.0074793748,0.0025817628,0.00037031298,-0.0012605187,-0.009655278,-0.010662012,0.0057571526,0.010268862,0.0009005869,0.0019027537,0.0005003281,-0.010418922,-0.0026667241,-0.010604907,-0.005569162,-6.5139095e-05,0.0010924787,-0.0034843467,0.007929174,0.014199833
TNFRSF14,-0.0014775037,0.0028730226,-0.0052123154,-0.0010895275,-0.0032892483,-0.00030462304,0.0054554003,-0.00012120832,0.0048981127,0.00033965,0.0033258605,0.001210739,-0.0023913763,-0.0070969197,0.0029644486,0.0034606033,-0.0028400118,-0.000109584515,0.009879901,0.0013263022,-0.0077600405,-0.005296406,-0.0013908361,-0.0056359083,0.001132714,0.0022802206,0.0036557056,0.0027900336
TTC34,-3.5557383e-05,-1.1966391e-06,-0.0024850727,-0.0011941644,-7.98693e-05,-0.0006725232,0.00076519337,0.0026376436,0.00010889286,-0.0014174451,0.0024702263,-0.0028150217,0.00434948,-0.0031018616,0.0023981726,0.0028698803,-0.0017735793,-0.0004361649,0.002661691,-0.0037303444,0.003801223,-0.005831604,-3.5459503e-05,0.0021939902,0.0004375604,-0.0030554004,-0.00067306607,-0.0001237464
SMIM1,-0.004482926,0.0032530732,-0.012457009,0.00023305805,0.0087055545,2.6234098e-05,0.01143421,-0.0027915023,0.011431538,-0.0023744628,-0.0023493909,0.0027261185,-0.022149293,-0.011895144,0.0058776317,0.02211234,-0.003037692,0.013168966,-0.0009365708,-0.016206125,-0.001531563,-0.019766863,-0.0063771815,-0.0074350066,0.010653357,-0.0009404193,0.01036546,0.025082437
LINC00337,0.0029271003,-0.0010284538,0.0012879998,-0.0017101468,0.00045894034,-0.0011788852,0.0017858152,0.0024854534,0.0003462925,0.0042754477,0.0023215048,-0.00064346456,-0.0022372194,-0.0013388314,0.0008121988,0.0021860416,-0.0032135434,-0.00031405932,-0.0008850829,-0.001796376,-0.0032090272,0.0030405722,-0.0010812555,0.00033189743,-7.185468e-05,0.0010007423,0.00038567098,0.0005350568
HES2,-0.007023429,0.0088020405,-0.0062663555,0.008203201,-0.0025773563,-0.0037145955,-0.0061989827,-0.0020853097,-0.009403062,-0.007971437,0.002686679,-0.0038969452,-0.0049221558,0.003815532,-0.0024472307,-0.006953508,0.0015229753,0.007989923,0.004078126,0.008005339,0.0057709436,0.0046446146,-0.0007130551,0.0007596575,0.0023904718,-0.00013295234,0.0027322795,0.00056336465
TNFRSF9,0.0024983352,0.0030704008,-0.0020994789,-0.0059646433,-0.0052663027,-0.00032574506,0.00557785,-0.002803246,0.009050338,0.009613526,0.012661963,0.0034561593,-0.006931091,0.00040494354,0.0073400782,0.01992399,0.00090799225,-0.01300955,-0.0030313723,0.021802692,0.0131332865,-0.0064244363,0.03436462,0.0012021179,-0.031062575,-0.005371537,-0.0049702465,0.00037059293
