gene_symbols,phi_0,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7,phi_8,phi_9,phi_10,phi_11,phi_12,phi_13,phi_14,phi_15,phi_16,phi_17,phi_18,phi_19,phi_20,phi_21,phi_22,phi_23,phi_24,phi_25,phi_26,phi_27,phi_28,phi_29,phi_30,phi_31,phi_32,phi_33,phi_34,phi_35,phi_36,phi_37,phi_38,phi_39,phi_40,phi_41,phi_42,phi_43,phi_44,phi_45,phi_46,phi_47,phi_48,phi_49,phi_50,phi_51,phi_52,phi_53,phi_54
SAMD11,-0.005912336,-0.0053296788,0.0016402707,-0.0017746231,-0.00064221985,-0.00036139967,-0.0028671457,0.006001752,0.0044199144,0.0030708965,0.0042493404,-0.0027204216,-0.018129392,-0.0072027724,-0.0030041214,-0.016060503,0.004734084,-0.004316991,-0.00921622,-0.0068184193,0.0038955358,-0.0006787373,-0.009786074,-0.014240612,-0.0006467392,-0.013342291,0.00043170704,0.034633003,0.032506738,0.0073378254,0.025908666,0.0035422018,0.020366864,0.030607577,-0.007812881,-0.0015253443,8.559563e-05,-0.007286842,0.0041473047,0.011184854,-0.00261538,-0.00022475858,-0.005766735,0.0010590486,-0.0005698312,-0.0031999936,-0.008521976,0.00428265,0.007912613,-0.018502807,-0.01334367,-0.0015040281,-0.0096523,0.0026138474,0.007829639
HES4,0.028936913,-0.008762723,0.029457172,0.009491307,-0.004641091,0.025121417,0.02879715,-0.0028167737,-0.02950297,-0.020372124,-0.050007198,0.022097126,-0.03332612,-0.0015497672,-0.012028661,-0.046733335,0.028953284,-0.004452389,-0.023659093,-0.0026495103,0.022132037,0.008223066,0.028539626,0.044395953,0.0042413725,-0.036763947,-0.010809638,-0.01294874,-0.0039791213,-0.0053831185,-0.008591681,0.009498917,-0.0019974809,-0.01095356,0.0010106452,-0.010515305,-0.0098509835,6.6350076e-05,0.010535531,0.016867258,0.02208682,0.019649431,0.003130221,-0.02100689,-0.010872771,0.00919605,0.0067652916,-0.037295144,-0.03601702,-0.0028408633,0.0026385952,0.0092855925,0.024353392,0.014909221,0.002485333
ISG15,0.004809967,-0.00053039094,-0.00010640461,0.009466356,-0.0013593412,0.0036607825,0.005756779,0.0072650295,-0.0019090833,-0.0021374016,-0.005490644,0.002607402,0.0031335952,0.0011132959,-0.0022729496,-0.008032767,0.011516588,0.0025910663,0.008909432,-0.0018401014,0.0036188813,0.0039411597,-0.0045959805,-0.0058127865,0.006214494,-0.0096466215,-0.0053065405,0.0050425697,0.00060266914,0.009109339,0.01772354,0.001484293,0.005086911,-0.0071512926,-0.006107487,-0.010597034,-0.0046669254,0.002507086,0.005874565,0.008012244,-0.0039871433,0.0031342602,0.006477236,0.0007935708,-0.007112783,0.004189976,0.010283387,-0.00021667927,0.00030903993,-0.0055883266,-0.008572833,0.004406698,0.0020908848,-0.002399691,-0.0029017518
RNF223,2.1246002e-05,0.00067812914,-0.00094357104,0.0016399532,-0.0020568604,-0.0032934383,-0.0010062696,-0.0005882966,-0.0014057081,-0.0016157209,0.00045769179,0.003864267,0.0021206357,0.003358353,-0.0015558098,-0.0030916785,0.0035958325,0.0015767948,7.6109336e-06,0.0020107804,-0.00035698529,0.0014603217,0.0034325887,-0.003833389,0.0031495611,-0.00039716158,-0.0025842357,-0.00083137036,-0.002522778,0.0014218555,0.0018108407,-0.0020660118,-0.0033225964,-0.0010527888,-0.002472137,0.0018109045,-0.0027981533,-0.0006877854,-0.000113365255,-0.0018422852,0.0009703119,-0.004145427,0.0021752545,0.0040751747,-0.0008562378,0.00023178878,1.0179439e-05,0.00082590606,-0.0006140476,0.0018730417,0.002458376,-0.0001442036,-0.0022759472,0.0009138627,0.00044111
TNFRSF4,-0.00074920955,0.0017365381,0.0021533302,-0.001405851,0.0005161194,-0.00013092037,-0.00059816433,0.0005969619,0.0013527418,0.0015012461,-0.008475638,-8.446089e-05,0.0013779151,-0.00094581285,0.0003305658,0.00081721076,0.00034074337,-0.00680198,-0.0074986187,0.0013400174,0.0201334,-0.00791418,-0.011991813,0.009776387,0.026156366,-0.005778642,-0.011578477,0.010683459,-0.0069624023,-0.0059031923,0.011559223,0.008889593,0.005232021,-0.012111594,0.0025615771,0.011437842,-0.009944743,-0.018562008,-0.00431617,0.0018239387,-0.0065788818,-0.0010595736,-0.015937958,6.165484e-05,-0.011814311,0.0023402974,0.020056022,0.00026508665,0.0018201901,0.0017837186,0.013701547,-0.0021529405,-0.003710552,-0.0036831326,-0.0049370807
MMP23B,0.00015531546,-0.005108121,-0.0037883003,0.002902984,0.0029617294,0.0010431558,-0.0031313833,-0.00475079,-0.0020679182,-0.0011794821,-0.006162521,0.0019150857,-0.00371269,-0.0010654493,-0.008975778,-0.009331871,0.0007128244,0.0045055635,-0.00021695567,-0.0009462578,-0.00021489429,-0.00042110833,-0.0073712883,-0.007463287,0.0035597999,0.001115675,0.0016762,-0.002879477,0.007105623,0.007926627,-0.00421209,-0.013502965,-0.012357189,-0.00084880926,-0.0012314805,-0.0006457031,-0.0044811387,0.0014150017,-7.9006866e-05,-0.0002219535,0.0022480092,-0.0088583855,-0.011438997,0.00044473034,-0.0018699062,0.0018827346,-0.0011829534,0.0056587495,0.0016729584,0.01234124,0.014037806,-0.0019816644,0.0037108855,-0.003741969,-0.00017956039
TNFRSF14,-0.00040669952,-0.0034055337,-0.0032818767,0.0043402626,-0.0029841685,-0.0012780554,-0.0038483134,-0.0029974906,-0.00066816754,-0.0013240479,-0.011376146,0.00029070213,0.0013425018,0.004925976,0.0045537236,-0.009366678,0.0038011621,0.00048216988,0.0023151834,-0.0054413443,0.0010191376,0.0035194852,-0.0012739119,0.00079874374,0.0036812623,-0.0024832052,0.0039778794,0.0068518394,-0.0064277817,0.001627165,0.004088174,-0.007796052,0.0019309683,0.0027277875,0.005716614,-0.0033155913,0.005258968,0.019701803,0.00022407081,0.0073933583,-0.00872247,-0.0029647914,-0.0046504675,-0.0046683243,-0.002140716,-0.0007056581,0.0023701757,-0.0021928884,0.000325159,0.009657109,0.002688779,0.012088035,-0.0006966971,0.0060837613,0.0037378648
TTC34,0.00054535817,-0.000586697,-0.004203333,0.0024009508,-0.0012424128,-0.00041294808,-0.0016388625,-0.0007085824,0.0002006069,0.0018621216,-0.00038172,-0.0022944515,-0.0007550557,0.0007713481,-0.000317287,0.0009636465,0.0035924006,0.0006890632,-8.1917016e-05,0.00054358825,-0.00548407,-0.0033226537,-0.0022627106,0.00042719222,0.0055591674,0.0022285497,-0.0036783891,0.0025668247,-7.655149e-05,-0.0007761408,-0.0022223946,-0.0012320968,-0.0014510443,0.0048231604,-0.004903915,0.00061256666,-0.0018031187,-0.00033144775,-0.0026976278,0.0017378763,-0.0014790061,-0.00030950693,0.0018729446,-0.00019969464,-0.0015000581,-0.00091486826,0.0011125844,0.00096160284,-0.0010033846,0.001098936,0.0028181544,-0.0045506824,-0.0037474877,-0.0022323304,0.00088868366
SMIM1,-0.00090741063,-0.0061471444,-0.005997761,-0.0028448263,0.0036261026,0.00037454162,-0.0034340252,-0.010027083,-0.0070319334,0.0029292998,-0.0106258225,-0.0007213187,-0.010295743,0.0063589425,-0.007005395,-0.016182506,-0.00068211614,0.0019410141,0.0009766122,0.0013428573,-0.004875155,-0.00033491504,-0.003064516,-0.00898991,0.017356927,0.0068161464,-0.002608381,-0.008150081,0.008419372,0.0083365645,-0.0066836085,-0.019412795,-0.0111322915,0.004511822,-0.003815181,-0.00052726927,-0.0004983679,-0.0023319034,0.0014548779,0.010248454,-0.006336059,-0.005397987,-0.016096627,-0.008426393,0.0030792775,-0.010779501,-0.0059185456,-0.010689601,0.0026136516,0.021413952,0.024117906,-0.002725772,0.011141855,-0.007722001,0.003911079
LINC00337,0.0022236991,0.0005915703,0.0004982721,0.0027008452,-0.0009065603,0.0029089558,0.0007031097,-0.00066080026,-0.0019272212,-0.00010810125,-0.0020413224,0.0012329678,-0.0006454247,-8.8731285e-05,0.0003480616,-0.0023440605,0.000862864,-0.0026131524,0.00316755,-0.0009498308,0.0045432276,-0.0032732948,0.002175957,0.0025900528,-0.00057880505,-0.0005255577,0.0007493746,-0.0019064383,-2.5398218e-05,0.004279585,0.003017198,-0.0009250319,0.0015319957,-0.0014229883,0.0020750042,-0.0020148398,2.7152795e-05,0.0034333263,0.0023942564,0.0016521125,0.0009673333,0.0019302624,-0.0037425677,-0.00123189,-0.00036338254,-0.0013723364,-0.0014284397,-0.001692482,0.0015570841,-0.0007836438,-0.00064842467,-0.00030024923,0.00058754237,0.0047364864,-0.0002942106
HES2,-0.0008075104,-0.0048555452,-0.0025328055,0.0017265021,-0.0026685265,0.004817863,-0.0004940742,0.004761406,-0.0007849429,-0.0077086305,-0.0015638353,-0.00901162,-0.0019987025,-0.002829225,0.009996926,-0.014672755,0.008316445,0.010193184,-0.010978928,-0.0012101991,5.5812525e-05,0.000154923,-0.0060493043,-0.0011371522,0.005244662,-0.0024628371,0.00488998,0.0030567106,-0.0043089604,0.003236291,0.0037033276,-0.0008642366,0.00020438849,-0.0055819033,0.0025857482,-0.008946718,-0.00042305674,-0.00032716288,0.0010696169,0.009446806,0.0130787,0.006496328,-0.0010476977,-0.0020778684,-0.016200459,-0.00089177856,0.005208717,-0.0050506517,-0.013196246,-0.005429248,0.0041694553,0.002684432,-0.003378545,0.0034862324,-1.6631266e-05
