,phi_0,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7,phi_8,phi_9,phi_10,phi_11,phi_12,phi_13,phi_14,phi_15,phi_16,phi_17,phi_18,phi_19,phi_20,phi_21,phi_22,phi_23,phi_24,phi_25,phi_26,phi_27
AA06,0.00028251205,-9.3452684e-08,-3.4611076e-09,-7.0778743e-09,-0.001855154,-2.9498728e-09,-0.0015761926,2.6831367e-12,9.3709586e-14,-1.3502938e-13,-1.3105546e-07,4.5009417e-14,-2.8284094e-07,-2.8931009e-16,-2.4679798e-15,2.903827e-09,-2.4319286e-15,8.5503675e-09,-1.2739572e-14,-1.1285165e-08,-5.1557306e-14,4.768473e-09,-0.0018107356,5.445911e-10,0.00068362703,-3.5152115e-14,-3.8449397e-08,0.0017567388
ABCA1,-0.0004759702,-3.1611282e-07,3.7814236e-09,1.5033288e-08,0.011478479,-2.7705614e-08,0.012003015,5.543581e-12,1.9623126e-14,-1.3653367e-13,-1.580416e-07,7.041036e-13,4.3828885e-07,1.7640195e-14,1.4291721e-15,-1.1406273e-09,2.0351723e-14,1.177121e-08,2.1743878e-14,2.6583908e-08,-4.3372715e-14,-1.1246239e-08,0.013490201,-5.0924687e-08,0.0055277557,7.389493e-14,4.3870212e-08,-0.017918332
ABHD11-AS1,0.0011402983,1.14524646e-07,1.6885157e-10,-1.6405847e-09,-0.001115471,2.087155e-08,-0.001089197,1.9799815e-12,-6.803406e-14,3.4765265e-13,-1.0838837e-07,-8.5586437e-13,-2.1060151e-09,3.0058218e-17,-1.778915e-14,3.6849535e-09,-1.4978155e-14,1.3761739e-08,5.475697e-14,-2.029251e-08,-1.1611721e-13,-4.3766906e-09,0.0034446728,-4.0305224e-08,0.004438147,-2.1380497e-13,1.8148162e-08,-0.0012080678
ABHD12B,0.0040245345,2.0094492e-07,-1.3545596e-09,1.3457332e-08,0.0069313576,2.16995e-08,0.0036075355,-8.6724063e-13,-5.1458058e-14,2.773742e-13,6.355678e-08,2.7239668e-14,-4.550333e-07,-1.0560967e-15,1.2108079e-14,-1.7744722e-09,-1.7687486e-14,-6.8215195e-10,-5.914342e-14,-5.287874e-08,1.1547362e-13,7.1243584e-09,0.0034869164,3.0311298e-09,-0.0025937168,-8.347328e-14,-4.4490413e-08,-0.009504552
ABHD17A,0.00083831674,3.8023364e-07,-6.2755867e-10,-3.1928852e-08,0.0037031556,-2.2036119e-08,0.0023054811,7.7944595e-12,-4.4256797e-14,1.5537751e-13,-5.7063005e-08,2.358441e-13,-1.281235e-06,6.0774898e-15,5.404121e-15,-7.539387e-09,-3.5907258e-14,1.3080649e-08,-2.0396333e-14,2.13915e-08,7.17208e-14,-1.4320276e-09,0.0046848957,-4.509959e-08,-0.000121376856,-2.6573394e-13,-1.1237465e-09,-0.0043036295
ABTB2,0.002099069,-1.3443338e-08,-1.862853e-09,2.5301034e-08,0.008999729,-3.64905e-08,0.0071009626,2.3067796e-12,-1.5302279e-13,-7.9650845e-14,-1.825964e-07,1.1141104e-12,-6.3851026e-08,1.7067582e-14,-2.1048628e-14,4.3490904e-09,2.5293324e-14,2.9217228e-08,3.8218177e-14,7.819412e-08,1.8015838e-13,-1.8137607e-08,0.010845925,-7.3120475e-08,0.0031594473,4.1673793e-13,-2.8198802e-08,-0.013768071
ACOXL,0.0006176844,-2.3986644e-07,3.946536e-09,-1.4810598e-09,0.011716964,-1.6191654e-08,0.009879059,-1.7059957e-12,9.7547994e-14,1.6185528e-13,-9.691133e-08,-7.034351e-13,4.044813e-07,-3.281049e-15,3.1417579e-15,-1.2925153e-09,-1.4860556e-14,-2.2131792e-09,-2.4239074e-14,-1.7086801e-08,1.5712383e-14,-1.5083866e-09,0.01979985,-4.763106e-08,0.0028347245,3.0576104e-14,4.5665814e-08,-0.0193318
ACP5,0.0010761186,-4.7263196e-08,-1.4183608e-09,-4.3057375e-09,0.0011478526,-1.8279465e-08,-0.0009621866,-4.5417966e-12,-5.6085567e-15,-8.5557036e-14,-8.204482e-08,-1.08196065e-13,1.13975524e-07,-6.8995243e-16,1.341573e-14,-2.1240822e-09,1.9707854e-15,-1.1212574e-08,-7.986891e-15,-1.4731595e-08,2.86677e-13,3.367458e-09,-0.00031313935,-2.5392643e-08,-0.0023094574,-1.7321885e-14,-2.6455633e-09,0.0003454503
ACSF3,-0.00036503907,5.1488524e-08,7.4050406e-09,4.160421e-08,0.0032268213,8.173305e-09,0.0021189896,5.019477e-12,-1.05615e-13,-4.6168364e-13,-1.1649109e-07,3.666301e-13,-1.323959e-08,-1.15733855e-14,5.5076352e-15,2.6282758e-09,-1.4751831e-14,1.3857841e-08,1.1699795e-13,7.01426e-08,-2.2144743e-13,-4.9661977e-09,0.0086713955,-1.0583096e-08,-0.0001638122,2.6188358e-14,3.264793e-08,-0.004303947
ACTA1,-0.00071751984,5.6590174e-08,-5.143944e-09,-3.5647748e-08,-0.0035277563,1.933327e-08,-0.0040913606,-7.4260314e-13,-2.9028317e-14,3.422086e-14,1.2760067e-07,-4.988344e-13,-3.523443e-07,4.9040827e-15,3.811528e-15,2.2450508e-09,-5.109819e-14,7.879907e-09,1.2678907e-14,-6.290082e-08,1.1729389e-14,4.888808e-09,-0.0056339083,4.136773e-08,-0.0005241918,-1.8068493e-14,-6.6668605e-08,0.007505071
ACTA2,-0.0008744492,-7.608271e-09,-4.3023283e-09,-1.2178018e-08,-0.0072204163,2.125876e-08,-0.00727944,-5.1287004e-12,1.449958e-14,7.07477e-14,-2.0815278e-07,3.5592644e-13,-5.1056617e-07,-3.6527567e-15,-3.6313645e-15,-1.4728683e-09,-3.6778433e-15,4.5935717e-09,7.759177e-14,1.1341717e-08,-6.575687e-14,-5.079194e-09,-0.005102284,-2.1746608e-08,0.000128431,9.1476455e-14,-2.1643686e-08,0.009294685
ACTC1,-0.002662844,2.5527004e-07,-1.3476009e-08,5.1627116e-11,-0.004551274,2.1287908e-08,-0.003983646,1.1092047e-12,-1.0935964e-14,1.415425e-13,1.00485366e-07,7.0465243e-13,-2.8470384e-07,-1.620912e-14,-1.1342091e-15,-5.593736e-09,-3.5671433e-15,1.0376712e-08,-3.3436208e-15,-1.7064945e-09,-8.562863e-14,-8.4342116e-09,-0.0035494743,-1.3877448e-08,0.0017968109,-1.9185378e-13,-4.5470276e-08,0.009085166
ACTL9,5.4949054e-05,8.437091e-08,-6.192957e-09,-1.8980812e-08,-0.0010660929,3.203456e-08,-0.0014815523,4.2694797e-12,3.7682991e-13,2.9484488e-15,6.027178e-08,-2.1955341e-12,-5.0862286e-07,7.401129e-15,2.5081126e-15,-1.4086122e-09,-4.8434792e-15,1.7634715e-08,-1.07866275e-14,-5.434087e-08,4.0282085e-14,6.1305663e-09,-0.00058069505,1.7411075e-08,0.0014491243,-2.0468475e-14,-4.724239e-08,0.0043036994
ACVR1,-0.0005214484,-2.538601e-07,1.40822545e-08,9.646739e-10,0.0076027378,1.5440532e-08,0.008008167,-6.004796e-12,1.1730959e-13,4.6854214e-13,-2.6060565e-08,-1.6866296e-12,8.05917e-07,-1.1818022e-15,2.2740097e-15,-4.8834736e-09,1.0946341e-14,-1.4343823e-08,2.4981971e-14,-7.292205e-08,-1.27565635e-14,-1.466386e-08,0.014923259,-2.3514495e-08,0.0020709618,-4.003216e-13,6.0329604e-08,-0.015921602
ADAD1,0.0020189246,2.7122505e-08,4.225078e-10,1.2216975e-08,-0.0004486923,5.871964e-09,-0.0031739762,6.331036e-12,5.2956788e-14,-5.6030847e-13,7.694303e-08,8.4780387e-13,-2.2130773e-07,3.1337223e-15,-1.1934922e-15,-2.3017706e-09,-2.2354124e-14,6.5953905e-09,1.3335917e-13,1.7598888e-08,-4.371971e-14,-1.48253e-09,-0.0008082607,-4.1802917e-08,-0.0047829407,4.238309e-14,-1.8286231e-08,0.0010551182
ADAM19,-0.0013331388,-1.2664793e-07,3.0981164e-09,5.108641e-09,0.0012096139,-9.759357e-09,0.00034555246,-8.386363e-12,2.3567444e-13,2.6746883e-13,2.7770849e-08,-1.2155573e-12,2.1051852e-07,-6.807724e-15,6.739176e-15,-4.3912713e-09,8.076477e-15,-1.4967343e-08,-3.6190082e-14,-4.8663267e-08,1.01172665e-13,-1.0979497e-08,0.005387432,1.6767674e-09,-0.00013523572,-3.4019895e-13,5.1048623e-08,-0.002409471
ADAMTS10,-0.00041687745,-1.6200035e-07,-2.1799684e-09,3.517628e-08,0.005679769,-2.0016222e-08,0.006817498,-5.3659256e-12,2.6727788e-14,-9.375626e-13,7.744666e-09,1.9764609e-12,3.6841132e-07,-1.2512022e-15,-6.3545894e-15,8.723545e-09,1.962487e-14,-3.819959e-09,4.898774e-14,1.1263466e-07,-1.016109e-13,3.1230667e-09,0.008202871,1.1803861e-08,0.0039831456,5.5930477e-13,4.336931e-08,-0.011350541
ADAMTS12,-0.0008150652,6.515911e-08,-1.6763057e-08,2.287282e-08,0.011385669,-2.403805e-08,0.012077159,1.5408844e-11,4.4799762e-14,-5.6674717e-14,-2.8173022e-07,3.898299e-13,2.712367e-07,2.2987952e-14,-4.1352576e-15,2.8963867e-09,-3.4041343e-14,-7.0531283e-09,5.904354e-14,4.4896208e-08,-6.679911e-14,7.013955e-11,0.021669876,-8.5393054e-08,0.009973954,1.1908177e-13,-3.7263668e-08,-0.019548161
ADAMTS17,-0.0029723193,-1.6690281e-07,1.7068043e-09,1.4257289e-08,0.0019468856,-4.2168327e-08,0.005130737,8.916399e-12,1.3820542e-13,-4.3208213e-13,-3.643384e-08,8.858271e-13,2.2501679e-07,-4.4837808e-15,-4.4091622e-16,-1.5392809e-09,8.843867e-15,-3.2005796e-09,6.390429e-14,2.2687187e-08,-3.976888e-14,2.020732e-09,0.014497227,-1.1213675e-08,0.005336541,2.6768323e-14,1.3186442e-08,-0.009638726
ADAMTS19,-0.00038587238,-1.1577524e-07,-5.052484e-09,1.0226368e-08,0.017647155,-4.7637073e-08,0.020376649,2.9592253e-12,-1.418333e-13,-5.964666e-13,-1.2634044e-10,9.044436e-14,1.350416e-07,1.5450279e-14,-1.9725222e-14,1.1835552e-08,2.5957189e-14,-9.863672e-09,-1.7643805e-15,6.226638e-09,-2.3942672e-13,-4.5793795e-09,0.03063762,-2.6116057e-08,0.0063783363,2.5917511e-13,-6.844923e-09,-0.035101566
ADAMTS20,-0.0013495034,-2.3862964e-07,5.0715783e-09,1.3994334e-08,0.009236334,-3.401516e-08,0.012333109,-5.7962025e-12,1.3409986e-13,-9.2799425e-14,-1.0203974e-07,-2.1706754e-14,7.452549e-07,6.6810647e-15,-2.0124998e-14,2.6574545e-09,6.3892165e-15,-1.5107542e-08,-3.1076856e-14,1.5856864e-08,5.1425427e-14,-1.3932532e-08,0.015731683,-3.1320972e-08,0.0056518903,2.376511e-15,7.390329e-08,-0.018451206
ADAMTS3,0.0005805651,-9.920218e-08,1.4820588e-09,1.197728e-08,0.008136052,-3.0275555e-08,0.007536503,1.6266322e-12,-1.3287628e-13,3.0171698e-13,-4.114268e-08,-8.731502e-14,7.6062484e-08,2.6260975e-15,4.1524833e-15,7.749897e-09,4.449808e-14,2.4612243e-09,5.2074996e-14,1.3719613e-08,-3.3287267e-14,-2.599253e-08,0.0121962745,-3.5752695e-08,0.0031441255,7.185513e-14,5.579388e-09,-0.013295337
ADAMTS6,-0.0048561823,-5.0430174e-08,3.1053369e-09,-1.2285222e-08,0.00033862476,5.506396e-08,0.0046450826,7.9165965e-13,3.486618e-14,2.677669e-13,1.5592322e-07,-4.3550339e-13,7.881534e-08,-5.3423795e-15,-1.6232018e-14,1.8709112e-08,1.9464287e-14,-1.3019881e-09,-5.958194e-14,-2.3064382e-08,-3.131203e-13,-4.674414e-09,0.010047343,1.0006238e-07,0.010273892,-1.6128754e-13,4.491342e-09,-0.0078430185
ADAMTS8,0.0006160084,-1.0002649e-07,2.5771527e-09,-9.108656e-09,0.0015945552,-2.137451e-08,-0.00070784433,-3.0092645e-12,-9.792562e-14,2.5497792e-13,-1.2548011e-07,5.202415e-13,-2.9385115e-08,1.0809487e-14,1.0174738e-14,-1.6860376e-08,3.8489516e-15,1.8628466e-08,-2.8080006e-14,3.426843e-08,1.2083947e-13,-8.923434e-09,0.0037084036,-5.968205e-08,-0.006716716,-2.063387e-13,3.0641804e-08,0.0004732967
ADAMTS9,-0.0013443255,-7.532403e-08,1.8360725e-09,2.1404121e-08,-0.00065961026,-4.9161133e-09,-0.0014062718,-1.908861e-13,5.4363987e-14,-1.7917041e-13,-2.5994112e-07,6.964279e-13,1.3965985e-07,2.374645e-15,-1.467715e-14,-4.1207393e-09,1.8635862e-14,-1.32800615e-08,8.155853e-14,9.2110447e-10,-1.3552149e-13,-5.4806395e-09,-0.0004815898,-2.9834023e-08,0.00073968223,4.1345775e-14,-2.1168138e-09,0.0059424005
ADAMTSL1,-0.002703688,-1.3637901e-07,-1.7290487e-09,-3.0722116e-08,0.004248423,-2.3829445e-08,0.008683286,-1.8130607e-12,6.519873e-14,1.9900433e-14,-2.9507762e-08,7.3520373e-13,2.193745e-07,-3.0937163e-15,-4.021618e-15,-5.1610765e-09,1.0176808e-14,-3.8936094e-09,4.8476754e-15,3.639006e-08,2.1445409e-13,-3.817366e-09,0.010996012,-1.3746081e-08,0.0020597354,7.081222e-14,1.8731592e-08,-0.011128695
ADAMTSL5,0.0007282528,-1.7402994e-07,3.4676022e-09,4.3957846e-09,0.0016241075,-1.9480728e-08,0.0007890414,-8.439417e-13,1.12226146e-13,-2.1880191e-14,-1.7859247e-07,-4.1810834e-13,2.8927687e-07,-1.6227858e-15,-6.0552674e-15,-5.1070277e-09,1.6630298e-14,-6.3202896e-09,1.0448318e-13,2.7545491e-08,-2.9605197e-14,5.167366e-09,0.001148153,-4.7655384e-08,-0.0011559543,-1.6100114e-13,1.801837e-08,-0.0018637519
ADARB1,0.00015530463,-6.207676e-08,-2.5987459e-09,3.4726824e-08,0.0067339055,-3.2625866e-08,0.0047097625,1.8173953e-12,1.849454e-13,-7.155367e-13,-8.402494e-08,6.6773654e-13,-1.6087778e-07,1.5937257e-14,4.5928363e-14,8.318694e-09,1.4045124e-14,-2.5254188e-10,-6.4247314e-14,9.1638086e-08,-3.2067232e-15,-4.616266e-09,0.011285918,-1.3758e-08,0.004854363,1.4910104e-13,2.0258426e-09,-0.0067267804
ADARB2,-0.0011890501,-2.1036541e-07,-4.698979e-10,1.4645096e-09,0.0100334,6.937532e-09,0.010905857,1.7831984e-12,2.6491106e-14,6.8228816e-13,-2.4064474e-07,-6.053261e-13,1.5316574e-07,-6.4964304e-16,-1.0245837e-15,-2.3133655e-09,1.274296e-14,1.7901289e-09,1.5500888e-14,-2.1395895e-08,6.3365044e-14,-8.4782386e-09,0.019401286,-7.938454e-08,0.005976709,1.6371248e-13,1.6666943e-08,-0.014846996
ADCY2,-0.002561831,-2.4530232e-07,6.2248153e-09,2.7952092e-08,0.015434645,-1.6072912e-08,0.018905004,-4.604526e-12,1.04066285e-13,-1.8189512e-13,-1.9458233e-07,-5.419958e-13,2.882506e-07,2.818408e-15,3.7791446e-15,-9.092896e-09,-2.2673e-14,-7.137953e-10,-1.8839285e-14,-1.7325048e-08,-4.8796765e-14,1.081183e-08,0.03235606,-9.5749634e-08,-0.00084536837,-1.2054351e-13,4.9591e-08,-0.026917467
ADGRB3,-0.0004032316,-3.8038198e-07,2.4824889e-09,3.3709355e-08,0.015849885,-8.471662e-08,0.01822788,7.229599e-13,-1.8943516e-14,-3.2016143e-13,-4.0063313e-07,-2.7354434e-13,4.59434e-07,-2.6582532e-15,-1.8531287e-14,1.9875472e-09,1.8965801e-14,-1.07968905e-08,5.047912e-14,4.3217618e-08,-1.4845525e-13,-8.087595e-09,0.02695228,-1.466598e-07,0.008686153,2.940481e-13,2.8747566e-08,-0.02426498
ADGRE1,-0.0009578265,-5.7592313e-08,5.9203296e-09,7.652552e-09,-0.0011404417,1.7411837e-08,0.0008459821,-5.0852382e-12,2.3298456e-13,4.744857e-14,1.02562964e-07,-2.1468484e-13,1.7552004e-07,3.4674922e-16,-2.8188013e-15,3.6931835e-09,-6.3740733e-15,-4.2331045e-09,-1.7374242e-14,-3.7311427e-08,4.6051718e-14,-3.1899925e-09,-0.0019301232,4.9467452e-08,-0.00041601923,-2.2315133e-13,3.0275594e-08,-0.0020682903
ADGRF2,4.8881004e-05,7.8649386e-08,-1.2781647e-08,7.886268e-09,-0.0005754692,-6.584502e-09,-0.0014538817,8.964461e-12,2.1879595e-14,3.5934793e-15,-4.621432e-08,7.5105026e-13,-2.2786527e-07,-2.5368099e-15,-4.349053e-15,-3.006056e-09,1.26728165e-14,-4.477651e-09,-3.461886e-14,1.176673e-08,-4.624856e-14,2.333671e-09,-0.00017416399,-4.010545e-08,0.00043627297,6.486424e-14,1.6147446e-08,-0.00024707575
ADGRF5,-0.00024178102,7.861861e-08,1.7483545e-09,1.20951835e-08,-0.00018130247,1.6034306e-08,-8.201955e-05,3.337552e-12,-2.4247612e-13,-4.0889864e-13,-5.4426426e-08,1.9896491e-13,-4.4252417e-07,6.3627302e-15,3.9955755e-15,-7.428586e-10,-1.8904695e-14,1.6278703e-08,-3.7549856e-15,9.880408e-09,-2.6606013e-14,-4.1627564e-09,0.00018979609,-2.6112552e-08,-0.000456924,2.9705432e-14,-4.234474e-08,-0.0008473479
ADGRG1,0.00022698552,-4.9619016e-09,4.393724e-09,4.821545e-09,0.00020380851,-3.693206e-09,-0.0011202683,3.8181706e-13,-3.5340078e-14,-1.8068439e-13,-7.75212e-08,-2.9363496e-13,1.1084976e-07,-4.782939e-15,2.630726e-15,6.902438e-10,-1.6686093e-14,-1.1348549e-08,-3.0648432e-15,-6.320924e-10,2.1417223e-14,4.5665757e-10,0.0024549845,-3.2662214e-08,-0.0033959267,-1.1445571e-13,1.3557604e-08,0.0015802899
ADGRL2,0.0022496143,-2.906436e-07,5.957122e-09,2.973512e-08,0.016124254,-4.4186752e-08,0.014504248,-1.1884228e-12,1.5643456e-13,-5.4193317e-14,-8.163468e-08,4.8744852e-14,4.671349e-07,5.4223716e-15,-1.0603729e-14,5.153017e-09,2.3126954e-14,-1.1832021e-08,-8.6036464e-14,3.6398422e-08,-6.276401e-14,-9.6630455e-09,0.024414213,-4.8244157e-08,0.00025800502,2.9650083e-14,4.312706e-08,-0.027722675
ADGRL4,-0.0035636378,-1.3604115e-07,-6.320513e-09,1.1445422e-08,-0.0046216655,-1.5905252e-08,-0.0039081275,-8.783368e-12,1.3765389e-13,1.1209833e-14,-2.1287377e-08,6.5658183e-13,-6.414435e-07,6.826354e-15,-6.5777004e-15,-9.353068e-09,1.9505532e-14,2.6397448e-08,-5.599739e-14,2.0043164e-08,1.0134572e-13,-3.3932903e-08,-0.001295456,5.395294e-09,-0.0006715965,5.2186974e-14,-3.8604593e-08,0.010855448
ADGRV1,0.00601735,-5.330743e-07,3.937143e-09,1.8266947e-08,0.027173752,-9.3789915e-08,0.024305629,-2.5692747e-12,7.171538e-14,4.642065e-14,3.1475302e-08,-4.7556387e-13,6.024638e-07,-1.5745052e-14,-3.4270018e-14,9.498668e-09,5.6921914e-15,-3.3521612e-08,6.079387e-14,2.669646e-08,-2.174328e-14,-2.8036042e-09,0.037095234,-5.0071964e-08,-0.001155278,-1.4301873e-14,3.323403e-08,-0.05784692
ADH1B,0.000500316,3.854971e-08,7.0939183e-09,-1.9011951e-08,-4.0305844e-05,4.3603258e-08,-0.00046383438,-1.3649931e-12,4.72476e-14,-4.6879736e-13,1.4135493e-07,5.0578785e-13,-6.941072e-10,3.539106e-15,-1.5259378e-14,8.632605e-09,-1.2433379e-14,-3.5671308e-09,-5.315014e-14,2.4410857e-08,-2.7075103e-13,4.562482e-09,0.00055826077,6.6781176e-08,2.5011308e-05,9.9479134e-14,-8.939175e-09,-0.0017580958
ADH1C,-0.0007017681,-1.2251026e-07,1.152766e-08,-1.6454393e-08,-0.0033152045,6.943036e-09,-0.0019520802,-1.36179765e-11,4.8676277e-15,-2.1439289e-13,7.695708e-08,-7.8428773e-13,8.8882e-07,-2.5320585e-15,3.451699e-15,6.9588437e-09,1.0451336e-14,-4.374592e-09,2.6763578e-14,-3.229709e-09,-9.914224e-14,9.111955e-11,-0.001789936,2.5044526e-08,-6.0771643e-05,-2.6718696e-13,7.84115e-08,0.0025558644
ADM2,-0.00037939427,7.704928e-08,3.8829113e-09,1.7544538e-08,0.0001579799,4.7939036e-08,0.0011836101,-6.0500114e-14,1.3079144e-13,5.611279e-15,7.9233054e-08,-4.4047548e-13,5.0541793e-08,1.5737009e-17,9.611064e-15,3.279871e-09,-8.132038e-16,-1.0962338e-09,-1.690617e-14,-3.2356034e-08,1.1086986e-13,1.1481437e-09,-0.0013915123,2.6937515e-08,-0.0010432627,-6.4912295e-14,9.334659e-09,-0.00411923
